cluster_id,name,count,percentage,center_GPSSpeed_kn,center_Main_Engine_Power_kW,center_Speed_rpm,center_Fuel_Consumption_t_per_day,center_Avg_draft_m,center_Trim_m,center_TrueWindSpeed_kn,center_RelWindSpeed_kn
0,Mode_0_AtRest_Loaded,8906,20.586195737598818,0.032735963137213164,1.0529979803719627,4.048618908585174,0.0010078158651226803,7.336859802348527,-0.4649058119868638,2.4732526721968293,2.4831384036513584
1,Mode_1_HighSpeed,19036,44.00166427811937,13.125965447797984,2725.0815959655592,648.5832501444867,7.762626305315865,6.793224816940577,-0.8109689451415963,6.4088297646295365,11.87173649082846
2,Mode_2_MediumSpeed,6750,15.602607369053672,5.11370543489662,945.2345970657803,552.9767476484001,1.9563476747107427,5.404196754565166,-1.6917033475904923,5.056006573482226,6.062638246703644
3,Mode_3_AtRest_Unloaded,8570,19.809532615228147,0.09972269566246982,-2.1300959718718317e-11,0.10640532024957226,-2.4428301934609208e-14,5.0568659440515695,-1.5600536735348263,4.694902034338469,4.732474475387238
