,corr
Main_Engine_Power_kW,0.72097022083594
GPSSpeed_kn,0.6971042961881231
Speed_rpm,0.6272192136633329
RelWindSpeed_kn,0.5750735888896892
TrueWindSpeed_kn,0.29347954023320294
GPS_LON,0.28705840770082686
GPS_LAT,0.2626063537861682
RelWindDirection_Deg,0.13119071555792236
DRAFTFWD,0.0970048907523339
Trim_m,-0.08057179224833909
Avg_draft_m,0.04362270683263505
DRAFTAFT,0.010918579418083135
TrueWindDirection_Deg,0.000345505665294982
