col1,col2,corr,abs_corr
DRAFTAFT,Avg_draft_m,0.9843459464783895,0.9843459464783895
DRAFTFWD,Avg_draft_m,0.9522622871390628,0.9522622871390628
GPSSpeed_kn,Main_Engine_Power_kW,0.9520712759468356,0.9520712759468356
Main_Engine_Power_kW,Speed_rpm,0.8928123878904312,0.8928123878904312
GPS_LAT,GPS_LON,0.8898719349069968,0.8898719349069968
DRAFTAFT,DRAFTFWD,0.8835506026103217,0.8835506026103217
GPSSpeed_kn,Speed_rpm,0.8828650360297638,0.8828650360297638
DRAFTAFT,Trim_m,0.8755078916330642,0.8755078916330642
TrueWindSpeed_kn,RelWindSpeed_kn,0.8529691507160294,0.8529691507160294
Avg_draft_m,Trim_m,0.7766393484075043,0.7766393484075043
RelWindSpeed_kn,Main_Engine_Power_kW,0.7620375923712699,0.7620375923712699
Main_Engine_Power_kW,Fuel_Consumption_t_per_day,0.72097022083594,0.72097022083594
GPSSpeed_kn,RelWindSpeed_kn,0.7044936383724997,0.7044936383724997
GPSSpeed_kn,Fuel_Consumption_t_per_day,0.6971042961881231,0.6971042961881231
RelWindSpeed_kn,Speed_rpm,0.665717446475557,0.665717446475557
